[2026-03-30T11:07:09.557Z] GET http://localhost:4000/reports → 307 (4ms, ?B)
[2026-03-30T11:07:09.562Z] GET http://localhost:4000/login → 200 (160ms, 14365B)
[2026-03-30T11:07:09.725Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774868829569 → 200 (1ms, 37551B)
[2026-03-30T11:07:09.725Z] GET http://localhost:4000/_next/static/chunks/webpack.js?v=1774868829569 → 200 (12ms, 56325B)
[2026-03-30T11:07:09.725Z] GET http://localhost:4000/_next/static/chunks/main-app.js?v=1774868829569 → 200 (103ms, 6035472B)
[2026-03-30T11:07:09.725Z] GET http://localhost:4000/_next/static/chunks/app-pages-internals.js → 200 (13ms, 133531B)
[2026-03-30T11:07:09.725Z] GET http://localhost:4000/_next/static/chunks/app/login/page.js → 200 (14ms, 267163B)
[2026-03-30T11:07:09.725Z] GET http://localhost:4000/_next/static/chunks/app/layout.js → 200 (20ms, 576491B)
[2026-03-30T11:07:09.999Z] GET http://localhost:4000/api/auth/session → 200 (29ms, 4B)
[2026-03-30T11:07:09.999Z] GET http://localhost:4000/api/auth/session → 200 (9ms, 4B)
[2026-03-30T11:07:10.009Z] GET http://localhost:4000/api/auth/session → 200 (6ms, 4B)
[2026-03-30T11:07:10.016Z] GET http://localhost:4000/api/auth/session → 200 (4ms, 4B)
[2026-03-30T11:10:32.381Z] GET http://localhost:4000/api/auth/providers → 200 (7ms, 210B)
[2026-03-30T11:10:32.388Z] GET http://localhost:4000/api/auth/csrf → 200 (5ms, 80B)
[2026-03-30T11:10:32.393Z] POST http://localhost:4000/api/auth/callback/credentials? → 200 (380ms, 37B)
[2026-03-30T11:10:32.773Z] GET http://localhost:4000/api/auth/session → 200 (8ms, 226B)
[2026-03-30T11:10:32.782Z] GET http://localhost:4000/dashboard?_rsc=1obve → 200 (12ms, 98B)
[2026-03-30T11:10:32.796Z] GET http://localhost:4000/dashboard?_rsc=16jui → 200 (8ms, ?B)
[2026-03-30T11:10:34.719Z] GET http://localhost:4000/_next/static/chunks/app/dashboard/page.js → 200 (9ms, 384828B)
[2026-03-30T11:10:35.439Z] GET http://localhost:4000/reports → 200 (406ms, 46929B)
[2026-03-30T11:10:35.699Z] GET http://localhost:4000/_next/static/webpack/636a516055aa2fb3.webpack.hot-update.json → 200 (2ms, ?B)
[2026-03-30T11:10:35.701Z] GET http://localhost:4000/_next/static/webpack/webpack.636a516055aa2fb3.hot-update.js → 200 (26ms, ?B)
[2026-03-30T11:10:35.847Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774869035724 → 200 (1ms, 37551B)
[2026-03-30T11:10:35.847Z] GET http://localhost:4000/_next/static/chunks/webpack.js?v=1774869035724 → 200 (3ms, 56325B)
[2026-03-30T11:10:35.847Z] GET http://localhost:4000/_next/static/chunks/main-app.js?v=1774869035724 → 200 (143ms, 6035472B)
[2026-03-30T11:10:35.847Z] GET http://localhost:4000/_next/static/chunks/app-pages-internals.js → 200 (5ms, 133531B)
[2026-03-30T11:10:35.847Z] GET http://localhost:4000/_next/static/chunks/app/layout.js → 200 (13ms, 576491B)
[2026-03-30T11:10:35.966Z] GET http://localhost:4000/_next/static/chunks/app/reports/page.js → 200 (186ms, ?B)
[2026-03-30T11:10:36.184Z] GET http://localhost:4000/api/auth/session → pending (?ms, ?B)
[2026-03-30T11:10:36.185Z] GET http://localhost:4000/api/auth/session → pending (?ms, ?B)
[2026-03-30T11:10:36.298Z] GET http://localhost:4000/api/auth/session → 200 (20ms, 226B)
[2026-03-30T11:10:36.298Z] GET http://localhost:4000/api/auth/session → 200 (11ms, 226B)
[2026-03-30T11:21:39.646Z] GET http://localhost:4000/reports?_rsc=1bp5v → 200 (37ms, ?B)
[2026-03-30T11:21:39.647Z] GET http://localhost:4000/_next/static/webpack/c335db90c4f53667.webpack.hot-update.json → 200 (22ms, 44B)
[2026-03-30T11:21:39.670Z] GET http://localhost:4000/_next/static/webpack/app/layout.c335db90c4f53667.hot-update.js → 200 (3ms, 1623B)
[2026-03-30T11:21:39.670Z] GET http://localhost:4000/_next/static/webpack/webpack.c335db90c4f53667.hot-update.js → 200 (2ms, 858B)
[2026-03-30T11:21:39.939Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774869699678 → 200 (?ms, 37813B)
[2026-03-30T11:21:57.688Z] GET http://localhost:4000/reports?_rsc=1bp5v → 200 (11ms, ?B)
[2026-03-30T11:21:57.688Z] GET http://localhost:4000/_next/static/webpack/6ceb878055f0600d.webpack.hot-update.json → 200 (2ms, 44B)
[2026-03-30T11:21:57.691Z] GET http://localhost:4000/_next/static/webpack/app/layout.6ceb878055f0600d.hot-update.js → 200 (2ms, 1623B)
[2026-03-30T11:21:57.691Z] GET http://localhost:4000/_next/static/webpack/webpack.6ceb878055f0600d.hot-update.js → 200 (2ms, 858B)
[2026-03-30T11:21:57.723Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774869717696 → 200 (1ms, 38176B)
[2026-03-30T11:22:04.060Z] GET http://localhost:4000/reports?_rsc=1bp5v → 200 (9ms, ?B)
[2026-03-30T11:22:04.060Z] GET http://localhost:4000/_next/static/webpack/bb3f66fa470776d3.webpack.hot-update.json → 200 (2ms, 44B)
[2026-03-30T11:22:04.062Z] GET http://localhost:4000/_next/static/webpack/app/layout.bb3f66fa470776d3.hot-update.js → 200 (1ms, 1623B)
[2026-03-30T11:22:04.062Z] GET http://localhost:4000/_next/static/webpack/webpack.bb3f66fa470776d3.hot-update.js → 200 (1ms, 858B)
[2026-03-30T11:22:04.084Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774869724067 → 200 (1ms, 38176B)
[2026-03-30T11:22:10.472Z] GET http://localhost:4000/reports?_rsc=1bp5v → 200 (22ms, ?B)
[2026-03-30T11:22:10.472Z] GET http://localhost:4000/_next/static/webpack/673c4f5acc60753e.webpack.hot-update.json → 200 (5ms, 44B)
[2026-03-30T11:22:10.478Z] GET http://localhost:4000/_next/static/webpack/app/layout.673c4f5acc60753e.hot-update.js → 200 (2ms, 1623B)
[2026-03-30T11:22:10.478Z] GET http://localhost:4000/_next/static/webpack/webpack.673c4f5acc60753e.hot-update.js → 200 (3ms, 858B)
[2026-03-30T11:22:10.518Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774869730492 → 200 (2ms, 38176B)
[2026-03-30T11:22:16.527Z] GET http://localhost:4000/orders → pending (?ms, ?B)
[2026-03-30T11:22:16.924Z] GET http://localhost:4000/_next/static/webpack/2ad14d6f5f47ad25.webpack.hot-update.json → 200 (2ms, ?B)
[2026-03-30T11:22:16.926Z] GET http://localhost:4000/_next/static/webpack/webpack.2ad14d6f5f47ad25.hot-update.js → 200 (52ms, ?B)
[2026-03-30T11:22:17.087Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774869736959 → 200 (1ms, 38176B)
[2026-03-30T11:22:17.087Z] GET http://localhost:4000/_next/static/chunks/webpack.js?v=1774869736959 → 200 (3ms, 56325B)
[2026-03-30T11:22:17.087Z] GET http://localhost:4000/_next/static/chunks/main-app.js?v=1774869736959 → 200 (101ms, 6035472B)
[2026-03-30T11:22:17.087Z] GET http://localhost:4000/_next/static/chunks/app-pages-internals.js → 200 (5ms, 133531B)
[2026-03-30T11:22:17.087Z] GET http://localhost:4000/_next/static/chunks/app/layout.js → 200 (13ms, 576491B)
[2026-03-30T11:22:17.345Z] GET http://localhost:4000/_next/static/chunks/app/orders/page.js → 200 (178ms, 5336086B)
[2026-03-30T11:22:17.353Z] GET http://localhost:4000/api/auth/session → 200 (135ms, 226B)
[2026-03-30T11:22:17.353Z] GET http://localhost:4000/api/auth/session → 200 (111ms, 226B)
[2026-03-30T11:22:17.464Z] GET http://localhost:4000/api/auth/session → 200 (9ms, 226B)
[2026-03-30T11:22:17.473Z] GET http://localhost:4000/api/auth/session → 200 (7ms, 226B)
[2026-03-30T11:26:31.689Z] GET http://localhost:4000/orders/54b6ac25-9d0d-42f7-a521-f2ebd9c30264 → pending (?ms, ?B)
[2026-03-30T11:26:31.966Z] GET http://localhost:4000/_next/static/webpack/3cf9716b5805da7d.webpack.hot-update.json → 200 (6ms, ?B)
[2026-03-30T11:26:31.973Z] GET http://localhost:4000/_next/static/webpack/webpack.3cf9716b5805da7d.hot-update.js → 200 (23ms, ?B)
[2026-03-30T11:26:32.228Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774869992167 → 200 (2ms, 38176B)
[2026-03-30T11:26:32.228Z] GET http://localhost:4000/_next/static/chunks/webpack.js?v=1774869992167 → 200 (3ms, 56325B)
[2026-03-30T11:26:32.229Z] GET http://localhost:4000/_next/static/chunks/main-app.js?v=1774869992167 → 200 (95ms, 6035472B)
[2026-03-30T11:26:32.229Z] GET http://localhost:4000/_next/static/chunks/app-pages-internals.js → 200 (4ms, 133531B)
[2026-03-30T11:26:32.229Z] GET http://localhost:4000/_next/static/chunks/app/layout.js → 200 (12ms, 576491B)
[2026-03-30T11:26:32.484Z] GET http://localhost:4000/api/auth/session → 200 (133ms, 226B)
[2026-03-30T11:26:32.484Z] GET http://localhost:4000/api/auth/session → 200 (111ms, 226B)
[2026-03-30T11:26:32.486Z] GET http://localhost:4000/_next/static/chunks/app/orders/%5Bid%5D/page.js → 200 (12ms, 394060B)
[2026-03-30T11:26:32.595Z] GET http://localhost:4000/api/auth/session → 200 (7ms, 226B)
[2026-03-30T11:26:32.603Z] GET http://localhost:4000/api/auth/session → 200 (7ms, 226B)
[2026-03-30T11:30:55.188Z] GET http://localhost:4000/orders/54b6ac25-9d0d-42f7-a521-f2ebd9c30264?_rsc=epw08 → 200 (35ms, ?B)
[2026-03-30T11:30:55.188Z] GET http://localhost:4000/_next/static/webpack/cdf09d137e610c03.webpack.hot-update.json → 200 (4ms, 44B)
[2026-03-30T11:30:55.193Z] GET http://localhost:4000/_next/static/webpack/app/layout.cdf09d137e610c03.hot-update.js → 200 (17ms, 1623B)
